sep=;
timestamp;Variable 1;Variable 2;Variable 3;Variable 4;Variable 5;Variable 6;Gate 15;
0.0;0.9;0.1;0.0;1.0;0.0;0.0;0.0;
0.5;0.8209195434289437;0.17228863813226256;0.006791818438793599;0.9512294245007139;0.04816097505523732;6.096004440486719E-4;0.008297588803388706;
1.0;0.752463441261865;0.23090038524136394;0.016636173496770972;0.9048374180359595;0.0927840129295089;0.0023785690345315548;0.021423864329663297;
1.5;0.6930270541741492;0.2781319963425809;0.028840949483269783;0.8607079764250579;0.13407101980699024;0.005221003767952024;0.037289440390603903;
2.0;0.6412584293138218;0.31590657145335016;0.042834999232828165;0.8187307530779818;0.1722133299159555;0.009055917006062713;0.05440332261231416;
2.5;0.5960179735601715;0.3458337835775777;0.05814824286225103;0.7788007830714049;0.20739223902638107;0.013806977902214062;0.07172324270711873;
3.0;0.5563445892381171;0.3692604257904564;0.07439498497142658;0.7408182206817179;0.2397795114866799;0.019402267831602257;0.08854108450739906;
3.5;0.5214272353579863;0.38731283219579815;0.09125993244621543;0.7046880897187136;0.2695378621009878;0.02577404818029872;0.10439547275433407;
4.0;0.49058104389437734;0.40093247789229125;0.10848647821333139;0.6703200460356392;0.29682141408468515;0.03285853987967559;0.11900534504046666;
4.5;0.46322726034173717;0.41090585352807896;0.12586688613018393;0.6376281516217733;0.3217761342752075;0.04059571410301921;0.13221969709931988;
5.0;0.4388763950778256;0.4178895341102632;0.14323407081191109;0.6065306597126336;0.34454024671754296;0.04892909356982368;0.14397976318302916;
5.5;0.4171140705303622;0.4224312140659193;0.1604547154037187;0.5769498103804866;0.36524462568896354;0.05780556393054974;0.15429073066084115;
6.0;0.39758913179971167;0.4249873565897574;0.17742351161053085;0.5488116360940265;0.38401316917538286;0.0671751947305907;0.16320074166350126;
6.5;0.38000365777906553;0.4259380012543669;0.1940583409665676;0.5220457767610162;0.4009631537621123;0.07699106947687168;0.1707854442900815;
7.0;0.3641045680633554;0.42559918650680595;0.21029624542983869;0.4965853037914095;0.4162055718546079;0.08720912435398263;0.1771367528009211;
7.5;0.34967656983736045;0.42423337034792336;0.2260900598147162;0.4723665527410147;0.429845452099915;0.09778799515907029;0.18235478487307377;
